"X1","X2","X3"
1,11,19
22,2,13
31,38,5
31,15,48
14,35,50
7,38,26
43,20,36
25,25,23
36,23,12
13,33,14
32,43,48
50,22,4
24,23,48
37,33,0
30,24,11
12,34,36
9,4,29
29,35,25
24,47,25
20,19,4
31,0,40
41,22,13
2,14,28
29,35,44
7,49,49
21,19,34
5,28,14
27,43,14
46,23,3
16,13,18
11,15,4
11,5,12
11,24,27
34,25,43
31,18,33
19,36,7
19,4,25
43,26,27
13,5,14
0,6,39
12,19,44
22,39,30
14,29,1
36,10,32
43,47,6
34,38,45
21,20,40
41,29,45
32,23,47
10,35,26
26,48,47
12,50,26
15,37,45
36,36,40
29,14,18
35,37,28
38,37,44
34,1,5
11,38,16
8,15,17
30,27,46
26,3,16
5,48,10
16,38,33
20,44,32
4,34,2
37,32,36
5,50,9
25,5,6
9,39,6
48,19,39
35,43,15
42,9,29
4,43,44
32,34,50
10,4,17
43,38,38
45,48,36
36,40,35
37,20,27
15,22,49
20,9,11
33,16,36
32,42,35
22,46,46
20,6,15
16,34,1
17,33,3
3,2,5
4,13,29
34,1,32
46,5,6
28,35,28
2,13,29
10,2,24
33,30,30
29,15,23
9,45,11
42,8,31
44,22,43
27,30,36
24,17,9
1,23,36
26,41,2
13,38,19
43,39,19
2,30,18
2,42,38
30,37,10
15,7,38
46,27,43
47,39,35
5,28,30
35,49,46
4,14,17
3,47,8
37,37,36
14,23,27
21,48,22
13,48,23
6,1,26
0,23,28
36,35,33
48,6,27
38,28,0
32,8,29
1,16,40
9,20,5
39,15,38
16,30,8
42,12,50
14,50,2
7,43,44
50,11,10
36,28,37
30,41,0
44,35,13
20,11,8
38,10,28
33,24,13
16,48,34
36,26,17
13,44,45
13,42,31
31,3,8
41,36,33
20,50,8
44,42,40
45,37,26
5,20,34
48,39,1
21,11,15
43,50,35
45,3,34
39,48,19
43,4,10
5,13,26
39,14,9
6,36,12
47,49,3
16,43,5
5,30,19
10,50,8
50,44,21
9,26,42
27,20,36
24,33,32
5,38,27
0,37,10
19,44,14
11,29,1
33,47,15
20,3,50
38,12,13
36,2,39
0,4,3
0,46,46
35,29,38
22,15,5
13,36,23
17,47,4
0,18,49
23,23,19
48,21,2
0,27,42
9,49,31
21,40,7
16,8,23
10,17,17
38,39,14
38,16,39
34,26,38
0,32,33
34,28,42
29,16,34
1,14,30
22,40,20
29,48,47
48,4,45
0,0,18
42,35,20
24,24,0
15,28,39
20,35,33
17,4,25
40,33,26
34,19,44
41,22,30
35,44,41
11,48,12
35,22,22
15,37,21
1,15,8
10,33,25
6,39,14
48,37,21
39,25,39
25,27,27
35,1,46
25,5,18
10,41,13
18,5,19
28,32,8
16,27,46
11,38,27
14,41,40
20,13,38
37,12,23
40,31,41
0,48,35
31,17,47
31,43,27
14,32,39
24,46,31
24,27,40
41,34,50
37,32,25
48,13,23
28,13,25
19,20,49
50,49,48
26,10,2
12,49,45
41,23,49
40,24,5
48,21,8
10,47,34
39,35,13
42,44,32
42,1,22
36,43,49
46,0,7
18,39,36
21,39,12
32,1,24
27,37,35
10,30,14
13,43,1
1,6,34
36,15,7
47,35,11
13,42,14
31,17,46
10,14,17
31,4,9
45,43,11
18,34,5
37,10,33
33,31,35
17,30,20
4,34,30
44,2,31
36,31,15
30,7,23
39,9,15
25,11,49
27,11,45
26,18,14
9,23,31
42,39,8
42,26,8
38,17,23
26,1,15
41,49,48
17,47,38
31,21,2
23,49,37
49,47,9
50,17,26
3,30,33
7,9,9
43,3,19
26,32,40
18,39,1
45,9,4
9,5,18
8,14,27
12,2,15
41,20,6
1,23,48
12,36,36
11,49,22
7,13,48
26,24,11
27,21,30
15,47,44
38,15,10
31,32,37
16,20,47
28,35,44
15,15,36
30,0,21
35,26,23
45,7,17
10,33,13
41,48,32
46,5,30
10,4,41
47,43,34
35,3,16
5,18,25
22,50,9
2,16,0
44,21,10
37,50,4
20,1,4
31,31,16
45,33,2
11,45,28
11,10,2
46,34,45
16,17,35
37,48,44
7,31,45
47,3,27
11,6,34
32,18,27
32,17,49
47,43,18
1,46,22
15,18,46
25,11,10
50,39,50
22,9,49
27,30,14
39,28,9
29,44,1
3,23,17
48,33,8
34,26,10
26,4,18
10,47,25
10,26,6
11,48,0
37,50,10
41,32,8
44,37,48
10,36,13
46,45,42
13,36,23
44,36,22
9,27,1
32,44,42
17,35,8
13,36,48
35,18,44
28,35,42
4,14,10
29,20,44
36,48,25
15,24,0
27,34,8
32,4,32
43,19,25
45,21,35
10,22,3
13,23,5
13,41,20
38,33,44
43,9,50
37,15,33
14,28,26
0,3,1
41,33,26
8,35,44
32,43,24
13,15,46
5,50,41
49,0,14
16,1,14
39,10,22
3,47,25
9,48,44
16,23,49
26,33,24
42,26,16
6,6,47
40,5,45
50,25,50
12,25,5
40,29,44
16,47,45
42,18,48
19,40,43
23,44,32
3,25,11
40,31,44
25,28,49
34,48,2
37,43,39
49,15,28
44,1,24
42,42,10
41,48,5
42,14,11
27,11,32
12,13,46
21,11,35
14,21,20
34,25,39
33,20,22
25,47,26
50,48,12
24,41,15
31,39,5
23,17,21
47,34,31
9,48,44
23,26,35
29,37,31
24,27,45
39,2,42
21,15,12
50,17,4
33,44,41
22,1,2
14,36,5
13,10,11
41,32,10
15,45,12
38,50,6
22,14,29
2,30,18
9,28,16
34,16,35
17,49,17
35,5,11
47,33,40
17,39,26
25,31,0
39,14,34
13,29,30
0,31,20
23,0,43
40,38,26
8,22,48
35,48,22
0,15,19
47,38,33
7,46,23
19,33,15
2,42,37
47,15,10
25,32,45
37,20,36
18,1,5
37,10,13
28,38,43
9,27,25
27,15,47
46,41,28
16,39,1
8,2,19
35,27,14
31,18,19
45,46,26
24,46,31
41,33,27
43,49,0
41,3,50
50,24,42
11,36,19
41,1,44
28,7,1
4,21,8
0,14,17
14,6,4
41,32,35
14,0,46
43,11,45
36,46,50
44,32,29
21,2,45
33,47,48
47,26,46
49,15,3
9,8,9
8,22,42
38,6,46
39,43,48
30,1,37
21,44,46
24,36,17
17,8,5
27,0,20
31,33,39
29,1,27
38,49,50
1,21,20
27,2,34
27,30,22
38,13,30
38,19,2
44,25,45
5,30,3
24,6,20
22,33,4
15,28,49
50,11,44
41,48,27
2,50,45
27,40,27
18,20,10
28,7,12
26,41,50
22,22,24
43,10,12
31,37,13
32,35,41
38,6,6
35,28,28
29,11,28
24,24,11
27,7,50
32,50,7
40,34,6
28,17,3
13,43,16
33,18,42
47,15,23
7,13,16
40,46,44
13,0,19
42,26,39
38,20,14
32,39,24
15,18,45
16,38,16
38,0,19
50,28,8
36,34,33
14,8,27
46,13,31
4,10,42
2,42,30
33,33,22
37,22,5
10,2,15
36,49,2
12,24,46
45,31,20
21,44,28
49,29,50
23,42,6
15,0,25
44,10,45
47,30,29
17,12,13
2,27,34
2,24,28
39,5,13
46,1,5
15,13,6
11,35,38
0,35,1
0,50,2
3,41,23
8,49,34
31,4,32
40,5,20
38,44,14
21,11,20
29,21,9
24,32,38
37,3,49
20,38,11
4,36,6
13,40,12
17,36,15
42,5,13
8,16,6
37,8,13
1,19,3
21,9,24
25,41,26
40,11,9
17,39,3
11,13,11
5,8,20
15,20,23
40,40,49
13,48,10
11,36,44
19,36,2
7,39,12
8,44,27
7,18,43
50,16,30
30,8,37
21,41,46
12,26,0
19,46,10
20,9,25
40,7,5
13,4,29
48,33,43
36,7,11
48,47,33
21,0,34
9,32,9
23,38,38
21,1,9
5,37,16
25,8,19
21,8,8
40,22,1
6,39,13
25,44,14
33,33,15
31,45,44
10,2,46
43,44,4
35,31,32
42,29,35
12,41,3
17,10,40
8,4,22
32,48,28
21,18,21
37,26,30
26,13,12
1,23,17
3,0,16
0,27,26
8,1,11
41,38,18
50,33,21
47,47,23
49,42,3
11,41,33
34,30,13
35,17,47
8,23,12
29,23,34
17,42,19
11,22,6
20,39,18
13,43,35
34,10,1
9,32,4
36,7,45
20,32,16
27,25,25
6,5,10
27,41,20
17,5,37
35,20,18
19,25,35
10,32,42
8,13,19
29,15,36
11,10,50
13,44,40
1,39,9
42,50,28
24,28,33
22,46,39
14,2,49
23,49,1
32,8,4
41,15,43
27,44,35
32,19,32
17,19,32
14,36,28
4,0,48
9,16,4
7,21,15
0,6,45
25,26,13
33,48,45
30,28,33
29,14,25
7,3,39
9,39,33
30,48,20
28,41,48
26,11,27
17,10,3
23,1,15
30,25,50
12,22,32
2,45,7
34,23,19
23,17,27
2,32,33
44,38,25
15,18,8
15,42,10
22,29,5
49,12,27
0,17,0
33,18,7
24,19,3
16,28,21
30,42,38
20,42,42
41,31,28
11,48,11
14,16,17
43,28,11
43,13,18
7,9,19
23,1,27
40,44,34
33,28,37
24,43,3
35,8,5
43,9,24
3,21,4
45,44,48
4,6,23
29,40,16
0,47,35
19,32,8
48,14,21
32,39,32
45,29,40
15,6,19
10,35,31
8,50,23
23,34,20
38,18,35
36,28,46
46,32,27
7,5,19
40,23,8
29,42,42
8,13,27
25,21,32
29,49,43
17,5,17
12,49,17
8,8,40
27,30,21
29,43,35
25,18,13
15,28,38
42,49,10
33,4,20
33,25,47
18,32,14
12,45,3
7,30,30
21,28,47
33,0,29
19,16,21
50,43,40
36,15,12
10,11,35
49,27,31
20,6,38
30,17,23
23,50,6
14,0,48
36,14,34
13,43,2
8,19,0
40,23,19
1,8,9
29,21,37
12,35,37
29,31,0
36,2,31
49,45,2
12,34,26
44,26,6
8,23,36
26,49,6
11,3,22
0,12,16
8,6,33
17,38,17
18,38,48
15,1,38
13,37,48
27,3,37
23,21,29
20,49,1
42,31,40
38,9,34
24,24,46
17,38,13
13,32,8
23,31,42
19,24,8
20,35,26
7,31,15
6,17,42
20,23,34
36,33,1
25,49,46
25,23,47
10,49,30
2,45,22
49,30,2
36,30,32
32,16,3
38,33,19
17,3,17
26,12,6
24,49,32
40,47,44
8,10,16
38,7,24
10,32,23
33,45,7
5,9,2
44,49,41
32,48,15
28,44,7
20,47,3
0,18,20
45,48,42
11,43,32
28,41,41
22,11,50
46,21,13
24,36,31
41,25,16
25,23,49
31,33,13
0,33,21
24,13,20
29,44,18
21,37,16
49,4,39
36,35,24
30,44,5
47,31,40
28,30,10
37,47,36
37,38,31
38,44,14
4,46,32
8,45,46
8,10,12
2,17,42
13,46,29
19,3,34
33,24,34
28,44,5
43,37,30
3,30,21
37,44,20
40,27,3
19,8,19
20,46,16
8,24,41
29,19,9
45,1,40
43,38,0
19,1,49
40,5,24
50,10,43
35,46,10
37,42,43
11,11,13
25,26,24
49,6,6
8,46,45
50,22,13
5,33,18
10,8,42
1,23,48
16,44,46
36,2,41
49,3,19
23,7,6
3,11,21
38,46,50
31,22,32
16,5,14
6,6,8
15,7,31
27,21,9
2,20,27
14,42,18
8,12,15
32,38,26
9,22,26
5,18,29
27,46,5
0,7,19
29,4,34
46,25,10
4,34,20
4,49,24
6,16,29
25,38,2
27,30,7
34,49,4
4,10,3
7,49,11
42,42,21
19,40,47
48,30,50
3,43,40
6,46,38
16,22,27
23,29,33
35,23,12
50,50,19
5,22,2
27,26,19
8,20,5
41,1,20
50,2,10
19,27,41
42,48,5
47,45,7
5,44,44
40,27,32
16,24,48
28,26,21
3,31,1
34,7,15
33,0,42
2,1,10
39,12,4
9,19,13
34,33,11
24,30,14
31,24,39
30,24,33
16,31,39
25,13,12
22,10,23
48,43,24
44,43,25
45,46,39
37,7,28
49,20,43
23,3,31
36,32,13
41,3,33
7,4,21
5,39,49
15,45,40
49,26,36
4,48,16
9,9,44
43,38,18
16,49,44
9,47,6
38,26,18
48,13,31
25,13,19
46,11,6
20,3,36
19,43,37
22,45,19
18,49,37
25,9,39
46,40,29
34,44,2
7,28,5
19,0,23
30,19,1
9,8,4
13,34,45
0,43,44
13,26,34
0,38,40
37,33,29
47,14,8
13,4,32
49,23,36
22,29,44
33,35,15
25,9,11
5,44,25
10,14,45
15,45,6
47,31,11
5,21,27
42,50,25
3,34,32
35,4,29
19,17,50
